"","P","Sub","Number","Species","Ht","DBH","D30","Code","Max_DBH","Max_D30","CSA_BH","CSA_30","Density_expand","CSA_30_expand","CSA_BH_expand","DBH_eff","D30_eff","Life.Form","Phylo.name","Authority","Light.code","Char.height"
"98",1,5,"100","Rapanea umbellata",2.2,"1","2.2","RAUM",1,2.2,0.7853975,3.8013239,4,15.2052956,3.14159,0.499999788833989,1.09999953543478,"tree","Myrsine umbellata","Mart.",2,NA
"99",1,5,"101","Myrcia fallax",2.2,"2+2+1.2","5.1","MYFA",2,5.1,7.4141524,20.428188975,1,20.428188975,7.4141524,1.53622850077496,2.54999892305334,"tree","Myrcia splendens","(Sw.) DC.",4,NA
"100",1,5,"102","Myrcia fallax",2.45,"2","3","MYFA",2,3,3.14159,7.0685775,4,28.27431,12.56636,0.999999577667978,1.49999936650197,"tree","Myrcia splendens","(Sw.) DC.",4,NA
"101",1,5,"103","Leptolobium elegans",2.55,"5.1","6.2","LEEL",5.1,6.2,20.428188975,30.1906799,1,30.1906799,20.428188975,2.54999892305334,3.09999869077073,"tree","Leptolobium elegans","Vogel",2,NA
"102",1,5,"104","Leptolobium elegans",2.9,"6.8","7.6","LEEL",6.8,7.6,36.3167804,45.3645596,1,45.3645596,36.3167804,3.39999856407113,3.79999839513832,"tree","Leptolobium elegans","Vogel",3,NA
"103",1,5,"105","Leptolobium elegans",3.55,"7.9","8.8","LEEL",7.9,8.8,49.016657975,60.8211824,1,60.8211824,49.016657975,3.94999833178851,4.3999981417391,"tree","Leptolobium elegans","Vogel",4,NA
"104",1,5,"106","Gochnatia polymorpha",5,"7.2+6.3","7.7+7.3","GOPO",7.2,7.7,71.887433175,88.42005055,1,88.42005055,71.887433175,4.78356359547765,5.30518390133043,"tree","Gochnatia polymorpha","(Less.) G. Sancho",4,NA
"105",1,5,"107","Myrcia fallax",3.5,"5.3","6.2","MYFA",5.3,6.2,22.061815775,30.1906799,1,30.1906799,22.061815775,2.64999888082014,3.09999869077073,"tree","Myrcia splendens","(Sw.) DC.",4,NA
"106",1,5,"108","Rapanea umbellata",6,"5.5","6.5","RAUM",5.5,6.5,23.758274375,33.183044375,1,33.183044375,23.758274375,2.74999883858694,3.24999862742093,"tree","Myrsine umbellata","Mart.",3,NA
"107",1,5,"109","Rapanea umbellata",5.9,"6.5","7.4","RAUM",6.5,7.4,33.183044375,43.0083671,1,43.0083671,33.183044375,3.24999862742093,3.69999843737152,"tree","Myrsine umbellata","Mart.",3,NA
"108",1,5,"110","Myrcia fallax",4,"5.1","5.3","MYFA",5.1,5.3,20.428188975,22.061815775,1,22.061815775,20.428188975,2.54999892305334,2.64999888082014,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"109",1,5,"111","Pera obovata",7,"7.9","9.1","PEOB",7.9,9.1,49.016657975,65.038766975,1,65.038766975,49.016657975,3.94999833178851,4.5499980783893,"tree","Pera glabrata","(Schott) Poepp. ex Baill.",3,NA
"110",1,5,"112","Vochysia tucanorum",8.5,"17+9.9+11.6","19.8+13.3+11.3","VOTU",17,19.8,409.639774075,547.12360645,1,547.12360645,409.639774075,11.4189487196575,13.1967743368432,"tree","Vochysia tucanorum","",5,NA
"111",1,5,"113","Vochysia tucanorum",8.5,"12.6","14.8","VOTU",12.6,14.8,124.6897071,172.0334684,1,172.0334684,124.6897071,6.29999733930826,7.39999687474304,"tree","Vochysia tucanorum","",4,NA
"112",1,5,"114","Myrcia fallax",4,"5.1+6.7","8.8","MYFA",6.7,8.8,55.68468275,60.8211824,1,60.8211824,55.68468275,4.21010510894122,4.3999981417391,"tree","Myrcia splendens","(Sw.) DC.",2,NA
"113",1,5,"115","Rapanea umbellata",6.2,"5.2","5.8","RAUM",5.2,5.8,21.2371484,26.4207719,1,26.4207719,21.2371484,2.59999890193674,2.89999877523714,"tree","Myrsine umbellata","Mart.",2,NA
"114",1,6,"116","Myrcia fallax",2.2,"1.2+1.6","4","MYFA",1.6,4,3.14159,12.56636,4,50.26544,12.56636,0.999999577667978,1.99999915533596,"tree","Myrcia splendens","(Sw.) DC.",2,NA
