OID,Individual,Old name,,Code,Number,Date,D30,DBH,Ht,Lower leaf,Bark1,Bark2,Bark3,Can 1 ,Can 2,Light ,Comments,
698,nPEOB3,,Bonus,PEOB,3,7/4/2018,3.3,1.9,340,105,2.48,2.94,2.44,,,4,Imported from LAI project,
699,nPEOB4,,Bonus,PEOB,4,6/2/2018,4.8,3.4,313,60,NA,NA,NA,,,4,Imported from LAI project,
700,nPEOB5,,Bonus,PEOB,5,6/2/2018,6,4.6,430,140,NA,NA,NA,,,5,Imported from LAI project,
701,nPEOB6,,Bonus,PEOB,6,6/2/2018,4.3,"1, 1, 1, 1, 1, 1, 1, 1, 1",257,20,NA,NA,NA,,,5,Imported from LAI project,
702,nPEOB7,,Bonus,PEOB,7,6/21/2018,"37,23.8","21,22.5,16.7,14.7",750,40,12.18,9.33,9.96,,,5,Imported from LAI project,
703,nPEOB8,,Bonus,PEOB,8,6/21/2018,43,"18,29.1",800,30,12.03,10.21,8.41,,,5,Imported from LAI project,
704,nPEOB9,,Bonus,PEOB,9,7/4/2018,2.7,1.8,266,50,1.93,2.08,2.25,,,4,Imported from LAI project,
705,nPIAX1,,Bonus,PIAX,1,7/10/2018,15.9,14,860,231,11.9,12.79,10.3,,,5,Imported from LAI project,
706,nPIAX2,,Bonus,PIAX,2,7/10/2018,24.5,23.2,1100,372,21.14,24.54,16.99,,,5,Imported from LAI project,
707,nPIAX3,,Bonus,PIAX,3,7/10/2018,19,17.2,850,430,16.83,15.54,14.09,,,4,Imported from LAI project,
708,nPIAX4,,Bonus,PIAX,4,7/10/2018,26.2,24.9,800,568,18.67,17.93,15.3,,,4,Imported from LAI project,
709,nPIAX5,,Bonus,PIAX,5,7/10/2018,26.2,25,1050,700,13.43,21.71,18.45,,,5,Imported from LAI project,
710,nPLEL1,,Bonus,PLEL,1,6/11/2018,11.4,"6.9,7.8",533,270,19.03,14.3,15.55,,,4,Imported from LAI project,
711,nPLPO1,,Bonus,PLPO,1,6/19/2018,10.8,"8.1,8.5",465,60,NA,NA,NA,,,5,Imported from LAI project,
712,nPLPO2,,Bonus,PLPO,2,6/19/2018,11.2,"6.9,6.6,5.2",448,140,NA,NA,NA,,,5,Imported from LAI project,
713,nPLPO3,,Bonus,PLPO,3,6/19/2018,8,"4.5,4.2,7.8",253,55,9.2,9.77,9.96,,,5,Imported from LAI project,
714,nPLPO4,,Bonus,PLPO,4,6/19/2018,9.2,7.8,390,181,NA,NA,NA,,,5,Imported from LAI project,
715,nPLPO5,,Bonus,PLPO,5,6/19/2018,18,"10.5,17.1",606,67,12.56,13,19.99,,,5,Imported from LAI project,
716,nPRHE1,,Bonus,PRHE,1,7/18/2018,4.9,4.5,541,150,3.2,3.53,3.58,,,5,Imported from LAI project,
717,nPRHE2,,Bonus,PRHE,2,7/18/2018,5,4.6,504,254,2.49,2.63,2.34,,,4,Imported from LAI project,
718,nPRHE3,,Bonus,PRHE,3,7/18/2018,4.9,4,470,223,2.93,2.96,3.4,,,4,Imported from LAI project,
719,nPRHE4,,Bonus,PRHE,4,7/18/2018,3.8,3.3,431,155,2,2.23,1.55,,,3,Imported from LAI project,
720,nPRHE5,,Bonus,PRHE,5,7/18/2018,5.9,5.3,572,150,2.77,2.93,2.26,,,4,Imported from LAI project,
721,nRAUM1,,Bonus,RAUM,1,5/28/2018,3,2,311,183,NA,NA,NA,,,2,Imported from LAI project,
722,nRAUM11,,Bonus,RAUM,11,6/30/2018,6.8,5.4,472,130,7.49,5.73,4.94,,,4,Imported from LAI project,
723,nRAUM10,,Bonus,RAUM,10,7/14/2018,2.9,2.3,317,200,NA,NA,NA,,,4,Imported from LAI project,
724,nRAUM2,,Bonus,RAUM,2,6/30/2018,4,3.6,348,150,2.83,2.52,2.68,,,4,Imported from LAI project,
725,nRAUM3,,Bonus,RAUM,3,6/29/2018,5.8,4.5,371,140,5.48,4.83,3.04,,,5,Imported from LAI project,
726,nRAUM4,,Bonus,RAUM,4,6/29/2018,4,3,315,115,3.72,3.58,3.08,,,4,Imported from LAI project,
727,nRAUM5,,Bonus,RAUM,5,7/5/2018,3.7,2.5,277,120,3.1,3.51,3.31,,,4,Imported from LAI project,
728,nRAUM6,,Bonus,RAUM,6,7/14/2018,3.8,3.2,374,202,2.12,1.78,1.5,,,3,Imported from LAI project,
729,nRAUM7,,Bonus,RAUM,7,7/14/2018,3.4,3,377,105,2.36,1.3,1.57,,,4,Imported from LAI project,
730,nRAUM8,,Bonus,RAUM,8,7/14/2018,4.7,4,396,65,3.01,2.94,4.37,,,3,Imported from LAI project,
731,nRAUM9,,Bonus,RAUM,9,7/14/2018,5.3,4.4,461,145,2.86,1.79,2.26,,,3,Imported from LAI project,
732,nSCVIS1,,Bonus,SCVI,,7/27/2018,1.7,0.9,170,60,1.15,NA,NA,,,2,Imported from LAI project,
733,nSCVIS2,,Bonus,SCVI,,7/27/2018,3.7,"2,2.6",306,175,1.94,NA,NA,,,2,Imported from LAI project,
734,nSCVIS3,,Bonus,SCVI,,7/27/2018,2.9,1.2,249,90,2.17,NA,NA,,,2,Imported from LAI project,
735,nSCVIS4,,Bonus,SCVI,,7/28/2018,2.4,1.4,294,95,1.93,NA,NA,,,2,Imported from LAI project,
736,nSCVIS5,,Bonus,SCVI,,7/28/2018,"5.1,4.9","3.2,3.1,3.5",364,0,2.02,NA,NA,,,2,Imported from LAI project,
737,nSIGU1,,Bonus,SIGU,,7/11/2018,6,4.7,555,344,3.18,3.1,2.93,,,4,Imported from LAI project,
738,nSIGU2,,Bonus,SIGU,,7/11/2018,7.2,4.8,567,266,2.88,4,3.38,,,4,Imported from LAI project,
739,nSIGU3,,Bonus,SIGU,,7/11/2018,5,4.3,492,215,1.94,1.62,1.83,,,3,Imported from LAI project,
740,nSIGU4,,Bonus,SIGU,,7/11/2018,5.3,4.9,508,334,1.86,1.88,2.37,,,3,Imported from LAI project,
741,nSIGU5,,Bonus,SIGU,,7/11/2018,5.2,3.8,470,245,2.32,1.91,2.65,,,4,Imported from LAI project,
742,nSTCA1,,Bonus,STCA,,7/4/2018,5.5,5.5,422,177,2.93,2.78,2.91,,,3,Imported from LAI project,
743,nSTCA2,,Bonus,STCA,,7/5/2018,4.8,3,300,80,2.55,2.42,2.26,,,4,Imported from LAI project,
744,nSTCA3,,Bonus,STCA,,7/5/2018,3.8,2.9,337,155,2.48,2.22,2.65,,,3,Imported from LAI project,
745,nSTCA4,,Bonus,STCA,,7/14/2018,5.5,3.8,355,30,3.65,2.95,3.5,,,4,Imported from LAI project,
746,nSTCA5,,Bonus,STCA,,7/14/2018,8,5.5,347,90,4.65,4.14,3.69,,,4,Imported from LAI project,
747,nSTRO1,,Bonus,STRO,,5/26/2018,1.5,1,170,60,NA,NA,NA,,,1,Imported from LAI project,
748,nSTRO10,,Bonus,STRO,,6/20/2018,4.7,"2.8,2.7",257,80,NA,NA,NA,,,4,Imported from LAI project,
749,nSTRO2,,Bonus,STRO,,5/28/2018,6.2,4.9,290,80,NA,NA,NA,,,5,Imported from LAI project,
750,nSTRO3,,Bonus,STRO,,5/31/2018,2.9,"1.2, 1.0",185,120,NA,NA,NA,,,5,Imported from LAI project,
751,nSTRO4,,Bonus,STRO,,5/31/2018,7.4,"3.1, 2, 2.2, 2.7, 4.2, 2.6",245,105,NA,NA,NA,,,5,Imported from LAI project,
752,nSTRO5,,Bonus,STRO,,5/31/2018,7.1,5.1,277,115,NA,NA,NA,,,5,Imported from LAI project,
753,nSTRO6,,Bonus,STRO,,6/20/2018,7.8,7.6,344,160,NA,NA,NA,,,5,Imported from LAI project,
754,nSTRO7,,Bonus,STRO,,6/20/2018,10.9,10.2,342,110,NA,NA,NA,,,5,Imported from LAI project,
755,nSTRO8,,Bonus,STRO,,6/20/2018,7.8,6.8,456,232,NA,NA,NA,,,4,Imported from LAI project,
756,nSTRO9,,Bonus,STRO,,6/20/2018,10,8.1,359,130,NA,NA,NA,,,4,Imported from LAI project,
757,nSYPU1,,Bonus,SYPU,,7/16/2018,1.5,0.9,185,70,1.56,1.25,1.82,,,4,Imported from LAI project,
758,nSYPU2,,Bonus,SYPU,,7/16/2018,2.7,2.1,343,130,2.1,2.02,2.24,,,3,Imported from LAI project,
759,nSYPU3,,Bonus,SYPU,,7/17/2018,4.2,3.6,397,236,2.46,2.71,2.64,,,4,Imported from LAI project,
760,nSYPU4,,Bonus,SYPU,,7/17/2018,5.7,4.3,470,188,6.23,6.47,5.35,,,4,Imported from LAI project,
761,nSYPU5,,Bonus,SYPU,,7/17/2018,4.9,3.6,491,290,3.84,2.59,3.02,,,4,Imported from LAI project,
762,nTACA1,,Bonus,TACA,,6/20/2018,"3,4.1,2.2","2.9,1,2.9",239,110,NA,NA,NA,,,4,Imported from LAI project,
763,nTACA2,,Bonus,TACA,,6/20/2018,"4.9,3.2,6,3.2","5.4,3.9,2.4,2.6",358,80,NA,NA,NA,,,4,Imported from LAI project,
764,nTACA3,,Bonus,TACA,,6/20/2018,7.7,6.2,323,50,NA,NA,NA,,,4,Imported from LAI project,
765,nTACA4,,Bonus,TACA,,6/20/2018,11.5,5.8,344,30,NA,NA,NA,,,4,Imported from LAI project,
766,nTACA5,,Bonus,TACA,,6/21/2018,13.5,13.3,461,60,7.98,6.13,7.33,,,5,Imported from LAI project,
767,nTAGU1,,Bonus,TAGU,,6/29/2018,"11.5,6.2,8.8","9.6,6.6,4.8",515,178,3.85,4.58,4.32,,,4,Imported from LAI project,
768,nTAGU2,,Bonus,TAGU,,7/3/2018,3.8,2.4,308,40,2.02,1.92,1.84,,,4,Imported from LAI project,
769,nTAGU3,,Bonus,TAGU,,7/3/2018,2.4,1.3,218,50,NA,NA,NA,,,5,Imported from LAI project,
770,nTAGU4,,Bonus,TAGU,,7/3/2018,4.6,4,429,50,2.46,2.05,2.22,,,5,Imported from LAI project,
771,nTAGU5,,Bonus,TAGU,,7/3/2018,15.9,14.5,900,182,4.01,4.81,4.57,,,5,Imported from LAI project,
772,nTEGL1,,Bonus,TEGL,,NA,12.5,12,469,165,NA,NA,NA,,,4,Imported from LAI project,
773,nTEGL2,,Bonus,TEGL,,7/5/2018,17.9,13.5,757,145,10.37,10.32,8.92,,,5,Imported from LAI project,
774,nTEGL3,,Bonus,TEGL,,7/5/2018,12,10.8,1050,337,8.86,8.1,7.35,,,5,Imported from LAI project,
775,nTEGL4,,Bonus,TEGL,,7/14/2018,29.4,32.9,1100,110,15.66,15.89,16.22,,,5,Imported from LAI project,
776,nVOTU1,,Bonus,VOTU,,5/28/2018,6.4,2.5,360,143,NA,NA,NA,,,3,Imported from LAI project,
777,nVOTU10,,Bonus,VOTU,,6/30/2018,7.2,6,453,115,6.53,7.24,6.27,,,4,Imported from LAI project,
778,nVOTU2,,Bonus,VOTU,,,10.1,"3.9, 2.5, 4.7, 2.6",330,30,NA,NA,NA,,,5,Imported from LAI project,
779,nVOTU3,,Bonus,VOTU,,,8.1,"3.2, 1.0, 1.6, 1.0",290,50,NA,NA,NA,,,5,Imported from LAI project,
780,nVOTU4,,Bonus,VOTU,,,4,2.8,280,40,NA,NA,NA,,,5,Imported from LAI project,
781,nVOTU5,,Bonus,VOTU,,,"3.1, 3.1, 1.8","1.2, 1.2, 1.0",215,30,NA,NA,NA,,,5,Imported from LAI project,
782,nVOTU6,,Bonus,VOTU,,,47.4,41.1,1400,626,21.92,25.17,25.33,,,5,Imported from LAI project,
783,nVOTU7,,Bonus,VOTU,,,"13.1,14.5","13.6,11.6",687,40,NA,NA,NA,,,5,Imported from LAI project,
784,nVOTU8,,Bonus,VOTU,,,60.5,"31.5,34.5",950,185,NA,NA,NA,,,5,Imported from LAI project,
785,nVOTU9,,Bonus,VOTU,,,13.7,11.6,452,70,NA,NA,NA,,,5,Imported from LAI project,
786,CEPA1,,Bonus,CEPA,1,,17.8,15,1150,950,3.55,3.8,3.77,300,480,5,,
787,CEPA2,,Bonus,CEPA,2,,3,2.3,280,255,1.3,1.36,1.77,91,83,4,,
788,CEPA3,,Bonus,CEPA,3,,5,4.2,381,165,2.7,1.94,2.33,63,52,4,,
789,CEPA4,,Bonus,CEPA,4,,8.7,"5.5,3.6",490,291,2.77,2.76,3.48,312,275,5,,
790,CEPA5,,Bonus,CEPA,5,,11.6,"3.6,3.3,1.9",374,293,2.94,3.89,3.18,135,103,5,,
791,PIRO2,,,PIRO,2,6/13/2019,11.7,10.4,375,120,19.89,18.88,18.1,240,180,5,,
792,PIRO3,,,PIRO,3,6/13/2019,11,8.6,351,100,17.55,16.07,17.96,190,140,5,,
793,PIRO4,,,PIRO,4,6/13/2019,7.5,6.6,255,120,13.88,13.28,13.84,140,120,5,,
794,TAAU1,,,TAAU,1,6/13/2019,"24.8,15.7","22.5,13.3,14.5,11.7",675,230,33.77,35.36,31.72,630,530,5,,
795,ERTO1,,,ERTO,1,6/13/2019,7.5,5.6,281,100,18.11,17.03,15.94,140,90,4,,
796,ASTO1,,,ASTO,1,6/13/2019,9.5,8.2,490,210,14.87,14.76,17.31,180,155,5,,
797,TAAU2,,,TAAU,2,6/13/2019,8.5,6.7,248,170,27.23,26.86,28.24,205,140,3,,
798,ZETU1,,,ZETU,1,6/13/2019,6,4.7,470,410,14.57,11.65,8.37,100,90,1,,
799,ZETU2,,,ZETU,2,6/13/2019,4.2,3.5,345,252,6.08,8.03,8.48,140,95,1,,
800,ZETU3,,,ZETU,3,6/13/2019,3.5,2.2,285,210,7.22,7.53,8.13,120,110,1,,
801,ERDE2,,,ERDE,2,6/18/2019,3.5,2,223,80,2.8,2.64,2.7,156,142,4,,
802,ERDE1,,,ERDE,1,6/18/2019,"9.3,12.2","7.5,6.4",345,125,9.73,9.23,9.39,440,295,4,,
803,ERDE3,,,ERDE,3,6/18/2019,3.3,2.7,306,227,2.8,2.21,2.33,140,110,2,,
804,TAAU3,,,TAAU,3,6/18/2019,25.3,"19.8,11.4",619,240,20.88,24.47,19.54,520,410,5,,
805,ASTO2,,,ASTO,2,6/18/2019,7.8,7.2,393,214,13.27,12.7,10.34,150,120,4,,
806,ASTO3,,,ASTO,3,6/18/2019,3.8,"1.8,1.5,1.5",187,84,6.73,8.48,7.45,95,70,4,,
807,HEAP1,,,HEAP,1,6/18/2019,6.1,5.2,900,530,3.11,3.12,3.51,304,190,3,,
808,AESE1,,,AESE,1,6/24/2019,20.2,17.8,940,270,14,10.02,14.44,340,270,3,,
809,ERTO3,,,ERTO,3,6/24/2019,3.7,1.6,216,126,12.4,12.2,13.32,121,47,3,,
810,ERTO4,,,ERTO,4,6/24/2019,5.4,4,243,170,14.8,18.6,18.66,94,39,4,,
811,AESE2,,,AESE,2,6/24/2019,3.1,2.8,341,173,2.24,1.88,2.72,139,86,3,,
812,AESE3,,,AESE,3,6/24/2019,3.4,2.5,261,116,2.26,1.98,1.54,90,75,4,,
813,AESE4,,,AESE,,6/24/2019,8,6.6,430,193,6.8,6.88,5.9,260,250,5,,
814,MAGU1,,,MAGU,1,6/27/2019,6.8,5.7,675,194,2.44,1.4,2.78,204,198,4,,
815,MAGU2,,,MAGU,2,6/27/2019,5,4,441,152,1.62,1.44,1.1,240,140,3,,
816,MAGU3,,,MAGU,3,6/27/2019,6.7,5.8,571,135,1.52,1.5,1.96,208,237,3,,
817,MAGU4,,,MAGU,4,6/27/2019,4,3,439,140,1.04,0.92,0.88,232,171,3,,
818,MAGU5,,,MAGU,5,6/27/2019,2.9,1.6,294,105,0.88,0.76,0.72,140,77,3,,
819,CRFL1,,,CRFL,1,6/27/2019,4,3.7,437,192,2.6,2,1.74,227,174,3,,
820,ALED6,,,ALED,6,6/27/2019,5,4.7,429,230,3.62,2.32,3.14,212,206,3,,
821,TAAU4,,,TAAU,4,6/27/2019,15.3,13.5,444,243,28.76,25.64,24.52,413,145,5,,
822,ASTO4,,,ASTO,4,6/27/2019,12.1,10.5,434,214,16.32,14.02,13.02,241,158,5,,
823,ASTO5,,,ASTO,5,6/27/2019,3.5,2,172,112,6.96,7.12,7.1,86,72,4,,
824,ZETU4,,,ZETU,4,6/27/2019,3.6,2.3,261,145,8.84,8.1,8.44,142,99,2,,
825,ZETU5,,,ZETU,5,6/27/2019,8.5,6.5,831,437,10.54,9.68,10.48,174,117,4,,
826,CRFL2,,,CRFL,2,6/27/2019,5.2,5,522,121,2.36,2.22,2.64,295,283,4,,
827,CRFL3,,,CRFL,3,6/27/2019,2.8,2,292,62,1.76,1.4,2.28,167,88,4,,
828,CAGU6,CAGU3,,CAGU,6,6/29/2019,3.2,3.1,557,224,1.26,1.24,1.08,138,89,3,,
829,CAGU7,CAGU4,,CAGU,7,6/29/2019,4,3.7,519,250,2.96,2.62,4.16,123,94,3,,
830,MISE1,,,MISE,1,7/4/2019,3.6,2.8,429,140,1.8,1.71,2.09,198,124,2,,
831,DAFA1,,,DAFA,1,7/4/2019,4,3.4,469,328,2.9,2.99,2.63,190,100,3,,
832,MISE2,,,MISE,2,7/4/2019,6.3,6.1,443,110,3.4,2.17,2.54,,,3,,
833,ERTO5,,,ERTO,5,7/4/2019,8.5,6.1,362,193,14.66,15.66,17.71,264,166,4,,
834,AESE5,,,AESE,5,7/4/2019,11.5,11.1,880,591,10.13,8.84,8.13,255,230,4,,
835,MISE3,,,MISE,3,7/4/2019,3,2.5,332,137,1.25,1.53,1.59,200,120,3,,
836,DAFA2,,,DAFA,2,7/4/2019,1.3,1.2,264,145,1.22,0.88,1.12,50,50,2,,
837,GUVI1,,,GUVI,1,7/4/2019,5.3,4.2,542,185,6.97,5.06,3.45,220,435,2,,
838,GUVI2,,,GUVI,2,7/4/2019,6.5,5.8,596,268,5.56,7.08,3.56,330,250,2,,
839,DAFA3,,,DAFA,3,7/16/2019,2.8,2.2,400,125,2.22,1.62,1.32,273,46,2,,
840,GUVI3,,,GUVI,3,7/16/2019,3.9,2.5,314,173,4.57,4.6,2.6,265,159,2,,
841,PIRO5,,,PIRO,5,7/16/2019,15.6,13.3,434,234,20.64,28.72,28.04,276,115,5,,
842,DAFA4,,,DAFA,4,7/16/2019,1.8,1.4,269,130,2.02,1.25,1.23,143,101,3,,
843,ANCA3,,,ANCA,3,7/16/2019,35.5,31.2,753,321,7.8,NA,NA,1140,1060,5,,
844,CRFL4,,,CRFL,4,7/16/2019,19.8,19.1,870,446,7.99,10.66,11.8,753,715,5,,
845,CRFL5,,,CRFL,5,7/16/2019,9.7,9.4,424,222,4.14,3.93,4.04,589,475,5,,
846,MISE4,,,MISE,4,7/16/2019,19.5,13.6,527,289,5.85,4.83,4.38,461,397,4,,
847,MISE5,,,MISE,5,7/16/2019,10,8.8,534,115,3.58,3.5,4.08,337,283,3,,
848,ERTO6,,,ERTO,6,7/16/2019,3.4,1.3,212,130,12.24,7.28,9.39,87,39,3,,
849,DAFA5,,,DAFA,5,7/16/2019,3.3,3,405,273,1.72,1.95,1.59,163,84,2,,
850,ERDE4,,,ERDE,4,7/16/2019,4.5,4.2,424,305,3.15,3.59,2.92,304,145,3,,
851,TAAU5,,,TAAU,5,7/16/2019,16.1,14.7,556,351,22.38,25,25.47,248,154,5,,
852,ERDE5,,,ERDE,5,7/16/2019,1.5,1.2,248,100,1.25,NA,NA,160,102,3,,
