P,Sub,Number,Species,Ht,DBH,D30,,,,,
2,3,340,Tapirira guianensis,4,2.4,2.6,,,,,
2,3,341,Rapanea umbellata,2.5,1.7,2.2,,,,,
2,3,342,Syagrus rommanzofiana,5,4.5,7,,,,,
2,3,343,Lacistema hasslerianum,3.5,1.3,1.4,,,,,
2,3,344,Cupania tenuivalvis,2,1.3,1.4,,,,,
2,3,345,Miconia albicans,2.5,1.7,2.2,,,,,
2,3,346,Terminalia glabrescens,11,11.5,13.4,,,,,
2,3,347,Gochnatia polymorpha,10,31,36.3,,,,,
2,3,347,=,,19,=,,,,,
2,3,348,Myrcia fallax,9,12.3,15.3,,,,,
2,3,348,=,,12,=,,,,,
2,3,349,Vochysia tucanorum,10,19.1,22.2,,,,,
2,3,350,Gochnatia polymorpha,8,8.6,9.2,,,,,
2,3,351,Machaerium brasiliense,11,11.8,12.8,,,,,
2,3,352,Vochysia tucanorum,7,6.3,9.1,,,,,
2,3,353,Vochysia tucanorum,9,10.8,11.3,,,,,
2,3,354,Myrcia tomentosa,6,7.5,10,,,,,
2,3,355,Machaerium brasiliense,11,15,15.3,,,,,
2,3,356,Machaerium brasiliense,11,10.7,12.7,,,,,
2,3,357,Machaerium brasiliense,12,18,20.8,,,,,
2,3,358,Machaerium brasiliense,11,11,13.6,,,,,
2,3,359,Vochysia tucanorum,10,11.2,12.9,,,,,
2,3,360,Machaerium brasiliense,12,13.9,14.5,,,,,
2,3,361,Terminalia glabrescens,7,6.7,8.1,,,,,
2,3,362,Pera obovata,10,12.5,14,,,,,
2,3,363,Vochysia tucanorum,10,13,15,,,,,
2,3,364,Terminalia glabrescens,9,11.6,12.5,,,,,
2,4,365,Lacistema hasslerianum,3.5,1.4,2,,,,,
2,4,366,Lacistema hasslerianum,5,3.6,4.7,,,,,
2,4,367,Rapanea umbellata,5,2.2,2.9,,,,,
2,4,367,=,,1.1,1.6,,,,,
2,4,368,Lacistema hasslerianum,3,1.8,1.9,,,,,
2,4,369,Cupania tenuivalvis,3,2,2.2,,,,,
2,4,370,Rapanea umbellata,6,3,3.4,,,,,
2,4,371,Rapanea umbellata,7,4.3,5.5,,,,,
2,4,372,Rapanea umbellata,5,2.8,3.3,,,,,
2,4,373,Terminalia glabrescens,3,1.3,2.1,,,,,
2,4,374,Lacistema hasslerianum,4,1.4,2.6,,,,,
2,4,375,Eugenia florida,3,3.2,4.3,,,,,
2,4,376,Rapanea umbellata,3.5,2,2.4,,,,,
2,4,376,=,,1.6,2,,,,,
2,4,377,Pera obovata,4.5,1.5,1.8,,,,,
2,4,378,Lacistema hasslerianum,4,2.4,3.1+2.5,,,,,
2,4,379,Lacistema hasslerianum,3,2.3,2.5,,,,,
2,4,380,Lacistema hasslerianum,5,2.8,3.8,,,,,
2,4,380,=,,2.1,3.1,,,,,
2,4,381,Vochysia tucanorum,11,13.8,15.3,,,,,
2,4,382,Pera obovata,12,16,18.3,,,,,
2,4,383,Myrcia fallax,5,10.2,14.4,,,,,
2,4,383,=,,7.6,=,,,,,
2,4,384,Vochysia tucanorum,11,17.5,22.7,,,,,
2,4,385,Rapanea umbellata,6,6.1,6.8,,,,,
2,4,386,Myrcia tomentosa,4,6.1,8.5,,,,,
2,4,387,Pera obovata,10,9,9.8,,,,,
2,4,388,Rapanea umbellata,11,15.1,16.1,,,,,
2,4,389,Gochnatia polymorpha,10,11.4,14,,,,,
2,4,390,Pera obovata,9,11.2,11.8,,,,,
2,4,391,Matayba elaeagnoides,9,8.5,9.2,,,,,
2,4,392,Pera obovata,9,5.6,6.4,,,,,
2,4,393,Matayba elaeagnoides,11,12.5,14.8,,,,,
2,4,394,Terminalia glabrescens,8,6,7,,,,,
2,4,395,Rapanea umbellata,8,5,6.5,,,,,
2,4,396,Terminalia glabrescens,7,6.7,8.5,,,,,
2,4,397,Machaerium brasiliense,10,8.2,9.4,,,,,
2,4,398,Pera obovata,10,7.6,8.3,,,,,
2,4,399,Rapanea umbellata,9,12.2,12.8,,,,,
2,4,400,Pera obovata,11,12,13.8,,,,,
2,4,401,Rapanea umbellata,8,5.8,6.8,,,,,
2,4,402,Vochysia tucanorum,12,23.1,26.8,,,,,
2,5,403,Lacistema hasslerianum,2.5,1,2+1.5,,,,,
2,5,404,Pera obovata,2.5,1.5,2.2,,,,,
2,5,405,Lacistema hasslerianum,4,1.8,2.6,,,,,
2,5,406,Lacistema hasslerianum,4,1.2,1.8,,,,,
2,5,407,Lacistema hasslerianum,2,1.1,3.5,,,,,
2,5,408,Stryphnodendron rotundifolium,3.2,2,2.2,,,,,
2,5,409,Lacistema hasslerianum,4,2,3,,,,,
2,5,409,=,,1.3,=,,,,,
2,5,410,Alibertia edulis,4,1.9,2.5,,,,,
2,5,411,Terminalia glabrescens,2.5,1,1.6,,,,,
2,5,412,Myrcia multiflora,4,1.8,1.8,,,,,
2,5,413,Lacistema hasslerianum,5,2.2,2.5,,,,,
2,5,413,=,,1.5,1.8,,,,,
2,5,414,Lacistema hasslerianum,5,2.7,3.2,,,,,
2,5,415,Tapirira guianensis,6,3.3,3.6,,,,,
